ttl,ip,rtt
3,81.173.106.61,70.85585594177246
3,81.173.106.61,82.7786922454834
3,81.173.106.61,74.85246658325195
3,81.173.106.61,70.8932876586914
3,81.173.106.61,58.74824523925781
3,81.173.106.61,70.84321975708008
3,81.173.106.61,79.18977737426758
4,213.140.39.118,66.57004356384277
4,213.140.39.118,74.84197616577148
4,213.140.39.118,74.99051094055176
4,213.140.39.118,55.13167381286621
4,213.140.39.118,98.74796867370605
4,213.140.39.118,71.13814353942871
4,213.140.39.118,59.08489227294922
4,213.140.39.118,54.89921569824219
4,213.140.39.118,59.03196334838867
4,213.140.39.118,55.031538009643555
4,213.140.39.118,67.26932525634766
4,213.140.39.118,67.11244583129883
4,213.140.39.118,78.84430885314941
4,213.140.39.118,46.64921760559082
4,213.140.39.118,79.46395874023438
4,213.140.39.118,74.98478889465332
4,213.140.39.118,62.8507137298584
4,213.140.39.118,62.93678283691406
4,213.140.39.118,55.271148681640625
4,213.140.39.118,62.92438507080078
4,213.140.39.118,67.00801849365234
4,213.140.39.118,70.79839706420898
4,213.140.39.118,70.97601890563965
4,213.140.39.118,58.84599685668945
4,213.140.39.118,95.06750106811523
4,213.140.39.118,82.95321464538574
4,213.140.39.118,74.9654769897461
4,213.140.39.118,62.9880428314209
4,213.140.39.118,62.560319900512695
4,213.140.39.118,55.004119873046875
5,94.142.97.59,190.9463405609131
5,94.142.97.59,195.12605667114258
5,94.142.97.59,210.93082427978516
5,94.142.97.59,223.08039665222168
5,94.142.97.59,202.68750190734863
5,94.142.97.59,191.0557746887207
5,94.142.97.59,195.62578201293945
5,94.142.97.59,199.97811317443848
5,94.142.97.59,201.42865180969238
5,94.142.97.59,218.90783309936523
5,94.142.97.59,198.86493682861328
5,94.142.97.59,182.8784942626953
5,94.142.97.59,186.90133094787598
5,94.142.97.59,198.6403465270996
5,94.142.97.59,182.74235725402832
5,94.142.97.59,195.6169605255127
5,94.142.97.59,182.90472030639648
5,94.142.97.59,226.54414176940918
5,94.142.97.59,191.16783142089844
5,94.142.97.59,322.66712188720703
5,94.142.97.59,206.7263126373291
5,94.142.97.59,214.80298042297363
5,94.142.97.59,182.85894393920898
5,94.142.97.59,190.72818756103516
5,94.142.97.59,202.58474349975586
5,94.142.97.59,191.27559661865234
5,94.142.97.59,206.96234703063965
5,94.142.97.59,202.73399353027344
5,94.142.97.59,199.10120964050293
5,94.142.97.59,198.75025749206543
6,94.142.98.123,198.5151767730713
6,94.142.98.123,211.2131118774414
6,94.142.98.123,190.6294822692871
6,94.142.98.123,203.57346534729004
6,94.142.98.123,179.0475845336914
6,94.142.98.123,186.96880340576172
6,94.142.98.123,210.71529388427734
6,94.142.98.123,186.9194507598877
6,94.142.98.123,190.86790084838867
6,94.142.98.123,190.7045841217041
6,94.142.98.123,206.8798542022705
6,94.142.98.123,194.5507526397705
6,94.142.98.123,183.1684112548828
6,94.142.98.123,190.66739082336426
6,94.142.98.123,186.85412406921387
6,94.142.98.123,207.0770263671875
6,94.142.98.123,178.7421703338623
6,94.142.98.123,202.9247283935547
6,94.142.98.123,206.7549228668213
6,94.142.98.123,202.70299911499023
6,94.142.98.123,178.85375022888184
6,94.142.98.123,194.7317123413086
6,94.142.98.123,186.63835525512695
6,94.142.98.123,191.40148162841797
6,94.142.98.123,178.75146865844727
6,94.142.98.123,194.73910331726074
6,94.142.98.123,194.74077224731445
6,94.142.98.123,202.78692245483398
6,94.142.98.123,186.5839958190918
6,94.142.98.123,206.35390281677246
7,94.142.107.31,242.9955005645752
7,94.142.107.31,242.98501014709473
7,94.142.107.31,234.87210273742676
7,94.142.107.31,246.74654006958008
7,94.142.107.31,231.01496696472168
7,94.142.107.31,246.81329727172852
7,94.142.107.31,222.78261184692383
7,94.142.107.31,239.8970127105713
7,94.142.107.31,242.74373054504395
7,94.142.107.31,230.8974266052246
7,94.142.107.31,255.6285858154297
7,94.142.107.31,242.56205558776855
7,94.142.107.31,234.6353530883789
7,94.142.107.31,239.46285247802734
7,94.142.107.31,226.58562660217285
7,94.142.107.31,222.7170467376709
7,94.142.107.31,239.6092414855957
7,94.142.107.31,234.8952293395996
7,94.142.107.31,227.16426849365234
7,94.142.107.31,234.97796058654785
7,94.142.107.31,222.51081466674805
7,94.142.107.31,243.51119995117188
7,94.142.107.31,226.65715217590332
7,94.142.107.31,227.23937034606934
7,94.142.107.31,230.96227645874023
7,94.142.107.31,218.7976837158203
7,94.142.107.31,242.48743057250977
7,94.142.107.31,218.7056541442871
7,94.142.107.31,223.6800193786621
7,94.142.107.31,238.79671096801758
8,94.142.107.31,226.59897804260254
8,94.142.107.31,258.88514518737793
8,94.142.107.31,243.0408000946045
8,94.142.107.31,250.98133087158203
8,94.142.107.31,250.46706199645996
8,94.142.107.31,239.34364318847656
8,94.142.107.31,226.74870491027832
8,94.142.107.31,219.4051742553711
8,94.142.107.31,222.76782989501953
8,94.142.107.31,222.85795211791992
8,94.142.107.31,226.24635696411133
8,94.142.107.31,239.7611141204834
8,94.142.107.31,254.50921058654785
8,94.142.107.31,226.9883155822754
8,94.142.107.31,222.84984588623047
8,94.142.107.31,219.20514106750488
8,94.142.107.31,230.94797134399414
8,94.142.107.31,242.36392974853516
8,94.142.107.31,230.743408203125
8,94.142.107.31,235.5639934539795
8,94.142.107.31,230.55624961853027
